budget_C,fee,invalid_challengers_per_round,multiplicative_blocked_rounds,linear_blocked_rounds,logarithmic_blocked_rounds
10.00000000,0.0,1,6,4,6
10.29293393,0.0,1,6,4,6
10.59444888,0.0,1,6,4,6
10.90479624,0.0,1,6,4,7
11.22423471,0.0,1,6,4,7
11.55303063,0.0,1,6,4,7
11.89145809,0.0,1,6,4,7
12.23979925,0.0,1,6,4,7
12.59834449,0.0,1,6,4,7
12.96739275,0.0,1,7,4,8
13.34725167,0.0,1,7,4,8
13.73823796,0.0,1,7,4,8
14.14067756,0.0,1,7,4,8
14.55490598,0.0,1,7,4,8
14.98126856,0.0,1,7,4,8
15.42012074,0.0,1,7,5,9
15.87182839,0.0,1,7,5,9
16.33676810,0.0,1,7,5,9
16.81532746,0.0,1,8,5,9
17.30790545,0.0,1,8,5,9
17.81491272,0.0,1,8,5,10
18.33677196,0.0,1,8,5,10
18.87391822,0.0,1,8,5,10
19.42679932,0.0,1,8,5,10
19.99587618,0.0,1,8,5,11
20.58162324,0.0,1,8,5,11
21.18452881,0.0,1,9,6,11
21.80509553,0.0,1,9,6,11
22.44384076,0.0,1,9,6,11
23.10129700,0.0,1,9,6,12
23.77801237,0.0,1,9,6,12
24.47455102,0.0,1,9,6,12
25.19149366,0.0,1,9,6,13
25.92943797,0.0,1,9,6,13
26.68899918,0.0,1,10,6,13
27.47081052,0.0,1,10,6,13
28.27552376,0.0,1,10,7,14
29.10380978,0.0,1,10,7,14
29.95635911,0.0,1,10,7,14
30.83388251,0.0,1,10,7,15
31.73711154,0.0,1,10,7,15
32.66679921,0.0,1,11,7,15
33.62372059,0.0,1,11,7,16
34.60867344,0.0,1,11,7,16
35.62247890,0.0,1,11,7,16
36.66598217,0.0,1,11,8,17
37.74005318,0.0,1,11,8,17
38.84558738,0.0,1,11,8,17
39.98350643,0.0,1,12,8,18
41.15475899,0.0,1,12,8,18
42.36032151,0.0,1,12,8,19
43.60119904,0.0,1,12,8,19
44.87842609,0.0,1,12,8,19
46.19306745,0.0,1,12,9,20
47.54621911,0.0,1,12,9,20
48.93900918,0.0,1,13,9,21
50.37259880,0.0,1,13,9,21
51.84818312,0.0,1,13,9,22
53.36699231,0.0,1,13,9,22
54.93029258,0.0,1,13,9,23
56.53938721,0.0,1,13,10,23
58.19561769,0.0,1,13,10,24
59.90036477,0.0,1,14,10,24
61.65504968,0.0,1,14,10,25
63.46113527,0.0,1,14,10,25
65.32012722,0.0,1,14,10,26
67.23357536,0.0,1,14,11,26
69.20307489,0.0,1,14,11,27
71.23026775,0.0,1,14,11,27
73.31684395,0.0,1,15,11,28
75.46454306,0.0,1,15,11,29
77.67515556,0.0,1,15,11,29
79.95052439,0.0,1,15,12,30
82.29254650,0.0,1,15,12,31
84.70317439,0.0,1,15,12,31
87.18441774,0.0,1,15,12,32
89.73834513,0.0,1,16,12,33
92.36708572,0.0,1,16,13,34
95.07283104,0.0,1,16,13,34
97.85783682,0.0,1,16,13,35
100.72442486,0.0,1,16,13,36
103.67498500,0.0,1,16,13,37
106.71197705,0.0,1,17,14,38
109.83793290,0.0,1,17,14,38
113.05545861,0.0,1,17,14,39
116.36723656,0.0,1,17,14,40
119.77602772,0.0,1,17,14,41
123.28467394,0.0,1,17,15,42
126.89610032,0.0,1,17,15,43
130.61331762,0.0,1,18,15,44
134.43942483,0.0,1,18,15,45
138.37761170,0.0,1,18,16,46
142.43116143,0.0,1,18,16,47
146.60345338,0.0,1,18,16,48
150.89796591,0.0,1,18,16,49
155.31827929,0.0,1,19,17,50
159.86807865,0.0,1,19,17,51
164.55115706,0.0,1,19,17,53
169.37141873,0.0,1,19,17,54
174.33288222,0.0,1,19,18,55
179.43968381,0.0,1,19,18,56
184.69608094,0.0,1,19,18,58
190.10645577,0.0,1,20,19,59
195.67531884,0.0,1,20,19,60
201.40731281,0.0,1,20,19,62
207.30721632,0.0,1,20,19,63
213.37994803,0.0,1,20,20,64
219.63057065,0.0,1,20,20,66
226.06429521,0.0,1,21,20,67
232.68648540,0.0,1,21,21,69
239.50266200,0.0,1,21,21,71
246.51850754,0.0,1,21,21,72
253.73987100,0.0,1,21,22,74
261.17277269,0.0,1,21,22,76
268.82340930,0.0,1,21,22,77
276.69815900,0.0,1,22,23,79
284.80358684,0.0,1,22,23,81
293.14645017,0.0,1,22,23,83
301.73370426,0.0,1,22,24,85
310.57250816,0.0,1,22,24,87
319.67023062,0.0,1,22,24,89
329.03445623,0.0,1,23,25,91
338.67299178,0.0,1,23,25,93
348.59387274,0.0,1,23,25,95
358.80536996,0.0,1,23,26,97
369.31599658,0.0,1,23,26,100
380.13451511,0.0,1,23,27,102
391.26994476,0.0,1,23,27,104
402.73156892,0.0,1,24,27,107
414.52894293,0.0,1,24,28,109
426.67190206,0.0,1,24,28,112
439.17056966,0.0,1,24,29,115
452.03536564,0.0,1,24,29,117
465.27701513,0.0,1,24,30,120
478.90655747,0.0,1,25,30,123
492.93535534,0.0,1,25,30,126
507.37510430,0.0,1,25,31,129
522.23784250,0.0,1,25,31,132
537.53596072,0.0,1,25,32,135
553.28221273,0.0,1,25,32,138
569.48972589,0.0,1,26,33,141
586.17201209,0.0,1,26,33,145
603.34297905,0.0,1,26,34,148
621.01694189,0.0,1,26,34,152
639.20863507,0.0,1,26,35,155
657.93322466,0.0,1,26,35,159
677.20632100,0.0,1,26,36,163
697.04399173,0.0,1,27,36,167
717.46277514,0.0,1,27,37,171
738.47969398,0.0,1,27,37,175
760.11226969,0.0,1,27,38,179
782.37853693,0.0,1,27,39,183
805.29705869,0.0,1,27,39,188
828.88694170,0.0,1,28,40,192
853.16785242,0.0,1,28,40,197
878.16003339,0.0,1,28,41,201
903.88432014,0.0,1,28,42,206
930.36215852,0.0,1,28,42,211
957.61562262,0.0,1,28,43,216
985.66743314,0.0,1,29,43,221
1014.54097637,0.0,1,29,44,227
1044.26032364,0.0,1,29,45,232
1074.85025143,0.0,1,29,45,238
1106.33626198,0.0,1,29,46,243
1138.74460460,0.0,1,29,47,249
1172.10229753,0.0,1,29,47,255
1206.43715047,0.0,1,30,48,262
1241.77778773,0.0,1,30,49,268
1278.15367216,0.0,1,30,50,274
1315.59512966,0.0,1,30,50,281
1354.13337448,0.0,1,30,51,288
1393.80053524,0.0,1,30,52,295
1434.62968172,0.0,1,31,53,302
1476.65485242,0.0,1,31,53,309
1519.91108295,0.0,1,31,54,317
1564.43443523,0.0,1,31,55,325
1610.26202756,0.0,1,31,56,332
1657.43206555,0.0,1,31,57,341
1705.98387398,0.0,1,32,57,349
1755.95792961,0.0,1,32,58,357
1807.39589488,0.0,1,32,59,366
1860.34065266,0.0,1,32,60,375
1914.83634203,0.0,1,32,61,384
1970.92839503,0.0,1,32,62,394
2028.66357456,0.0,1,32,63,403
2088.09001339,0.0,1,33,64,413
2149.25725422,0.0,1,33,65,423
2212.21629107,0.0,1,33,66,434
2277.01961171,0.0,1,33,66,444
2343.72124147,0.0,1,33,67,455
2412.37678827,0.0,1,33,68,466
2483.04348896,0.0,1,34,69,478
2555.78025707,0.0,1,34,70,490
2630.64773190,0.0,1,34,72,502
2707.70832907,0.0,1,34,73,514
2787.02629257,0.0,1,34,74,527
2868.66774834,0.0,1,34,75,540
2952.70075933,0.0,1,35,76,553
3039.19538231,0.0,1,35,77,567
3128.22372626,0.0,1,35,78,581
3219.86001245,0.0,1,35,79,595
3314.18063636,0.0,1,35,80,610
3411.26423135,0.0,1,35,82,625
3511.19173422,0.0,1,35,83,640
3614.04645267,0.0,1,36,84,656
3719.91413478,0.0,1,36,85,672
3828.88304049,0.0,1,36,87,689
3941.04401515,0.0,1,36,88,706
4056.49056529,0.0,1,36,89,724
4175.31893656,0.0,1,36,90,742
4297.62819398,0.0,1,37,92,760
4423.52030451,0.0,1,37,93,779
4553.10022209,0.0,1,37,94,799
4686.47597507,0.0,1,37,96,819
4823.75875637,0.0,1,37,97,839
4965.06301610,0.0,1,37,99,860
5110.50655701,0.0,1,38,100,881
5260.21063268,0.0,1,38,102,903
5414.30004864,0.0,1,38,103,926
5572.90326637,0.0,1,38,105,949
5736.15251045,0.0,1,38,106,973
5904.18387875,0.0,1,38,108,997
6077.13745592,0.0,1,38,109,1022
6255.15743014,0.0,1,39,111,1048
6438.39221339,0.0,1,39,112,1074
6626.99456511,0.0,1,39,114,1101
6821.12171958,0.0,1,39,116,1129
7020.93551704,0.0,1,39,117,1157
7226.60253854,0.0,1,39,119,1186
7438.29424487,0.0,1,40,121,1216
7656.18711949,0.0,1,40,123,1247
7880.46281567,0.0,1,40,125,1278
8111.30830790,0.0,1,40,126,1310
8348.91604779,0.0,1,40,128,1343
8593.48412453,0.0,1,40,130,1377
8845.21642998,0.0,1,41,132,1412
9104.32282873,0.0,1,41,134,1448
9371.01933298,0.0,1,41,136,1484
9645.52828267,0.0,1,41,138,1522
9928.07853083,0.0,1,41,140,1560
10218.90563438,0.0,1,41,142,1600
10518.25205049,0.0,1,41,144,1640
10826.36733874,0.0,1,42,146,1682
11143.50836913,0.0,1,42,148,1725
11469.93953629,0.0,1,42,150,1768
11805.93297982,0.0,1,42,153,1813
12151.76881125,0.0,1,42,155,1859
12507.73534751,0.0,1,42,157,1906
12874.12935133,0.0,1,43,159,1955
13251.25627859,0.0,1,43,162,2004
13639.43053305,0.0,1,43,164,2055
14038.97572840,0.0,1,43,167,2108
14450.22495807,0.0,1,43,169,2161
14873.52107294,0.0,1,43,171,2216
15309.21696714,0.0,1,44,174,2273
15757.67587229,0.0,1,44,177,2331
16219.27166028,0.0,1,44,179,2390
16694.38915497,0.0,1,44,182,2451
17183.42445303,0.0,1,44,184,2514
17686.78525413,0.0,1,44,187,2578
18204.89120088,0.0,1,44,190,2644
18738.17422860,0.0,1,45,193,2711
19287.07892550,0.0,1,45,195,2781
19852.06290326,0.0,1,45,198,2852
20433.59717857,0.0,1,45,201,2925
21032.16656580,0.0,1,45,204,3000
21648.27008117,0.0,1,45,207,3076
22282.42135878,0.0,1,46,210,3155
22935.14907883,0.0,1,46,213,3236
23606.99740833,0.0,1,46,216,3319
24298.52645481,0.0,1,46,219,3404
25010.31273323,0.0,1,46,223,3492
25742.94964666,0.0,1,46,226,3581
26497.04798093,0.0,1,47,229,3673
27273.23641387,0.0,1,47,233,3768
28072.16203941,0.0,1,47,236,3865
28894.49090707,0.0,1,47,239,3964
29740.90857722,0.0,1,47,243,4066
30612.12069259,0.0,1,47,246,4171
31508.85356662,0.0,1,47,250,4278
32431.85478892,0.0,1,48,254,4388
33381.89384851,0.0,1,48,257,4501
34359.76277540,0.0,1,48,261,4617
35366.27680081,0.0,1,48,265,4736
36402.27503686,0.0,1,48,269,4859
37468.62117612,0.0,1,48,273,4984
38566.20421163,0.0,1,49,277,5113
39695.93917807,0.0,1,49,281,5245
40858.76791457,0.0,1,49,285,5380
42055.65984994,0.0,1,49,289,5520
43287.61281083,0.0,1,49,293,5662
44555.65385365,0.0,1,49,298,5809
45860.84012074,0.0,1,50,302,5959
47204.25972175,0.0,1,50,306,6114
48587.03264075,0.0,1,50,311,6272
50010.31166993,0.0,1,50,315,6434
51475.28337069,0.0,1,50,320,6601
52983.16906284,0.0,1,50,325,6772
54535.22584277,0.0,1,50,329,6948
56132.74763151,0.0,1,51,334,7128
57777.06625341,0.0,1,51,339,7314
59469.55254650,0.0,1,51,344,7503
61211.61750528,0.0,1,51,349,7698
63004.71345707,0.0,1,51,354,7898
64850.33527279,0.0,1,51,359,8104
66750.02161321,0.0,1,52,364,8315
68705.35621169,0.0,1,52,370,8531
70717.96919449,0.0,1,52,375,8753
72789.53843983,0.0,1,52,381,8981
74921.79097666,0.0,1,52,386,9215
77116.50442447,0.0,1,52,392,9455
79375.50847526,0.0,1,53,397,9701
81700.68641891,0.0,1,53,403,9954
84093.97671325,0.0,1,53,409,10214
86557.37460012,0.0,1,53,415,10480
89092.93376877,0.0,1,53,421,10754
91702.76806796,0.0,1,53,427,11034
94389.05326825,0.0,1,54,433,11323
97154.02887593,0.0,1,54,440,11618
100000.00000000,0.0,1,54,446,11922
