budget_C,multiplicative_rounds,linear_rounds,logarithmic_rounds,source
10.00000000,6,4,6,paper_fig5_formula_generalized_inverse
10.29293393,6,4,6,paper_fig5_formula_generalized_inverse
10.59444888,6,4,6,paper_fig5_formula_generalized_inverse
10.90479624,6,4,7,paper_fig5_formula_generalized_inverse
11.22423471,6,4,7,paper_fig5_formula_generalized_inverse
11.55303063,6,4,7,paper_fig5_formula_generalized_inverse
11.89145809,6,4,7,paper_fig5_formula_generalized_inverse
12.23979925,6,4,7,paper_fig5_formula_generalized_inverse
12.59834449,6,4,7,paper_fig5_formula_generalized_inverse
12.96739275,7,4,8,paper_fig5_formula_generalized_inverse
13.34725167,7,4,8,paper_fig5_formula_generalized_inverse
13.73823796,7,4,8,paper_fig5_formula_generalized_inverse
14.14067756,7,4,8,paper_fig5_formula_generalized_inverse
14.55490598,7,4,8,paper_fig5_formula_generalized_inverse
14.98126856,7,4,8,paper_fig5_formula_generalized_inverse
15.42012074,7,5,9,paper_fig5_formula_generalized_inverse
15.87182839,7,5,9,paper_fig5_formula_generalized_inverse
16.33676810,7,5,9,paper_fig5_formula_generalized_inverse
16.81532746,8,5,9,paper_fig5_formula_generalized_inverse
17.30790545,8,5,9,paper_fig5_formula_generalized_inverse
17.81491272,8,5,10,paper_fig5_formula_generalized_inverse
18.33677196,8,5,10,paper_fig5_formula_generalized_inverse
18.87391822,8,5,10,paper_fig5_formula_generalized_inverse
19.42679932,8,5,10,paper_fig5_formula_generalized_inverse
19.99587618,8,5,11,paper_fig5_formula_generalized_inverse
20.58162324,8,5,11,paper_fig5_formula_generalized_inverse
21.18452881,9,6,11,paper_fig5_formula_generalized_inverse
21.80509553,9,6,11,paper_fig5_formula_generalized_inverse
22.44384076,9,6,11,paper_fig5_formula_generalized_inverse
23.10129700,9,6,12,paper_fig5_formula_generalized_inverse
23.77801237,9,6,12,paper_fig5_formula_generalized_inverse
24.47455102,9,6,12,paper_fig5_formula_generalized_inverse
25.19149366,9,6,13,paper_fig5_formula_generalized_inverse
25.92943797,9,6,13,paper_fig5_formula_generalized_inverse
26.68899918,10,6,13,paper_fig5_formula_generalized_inverse
27.47081052,10,6,13,paper_fig5_formula_generalized_inverse
28.27552376,10,7,14,paper_fig5_formula_generalized_inverse
29.10380978,10,7,14,paper_fig5_formula_generalized_inverse
29.95635911,10,7,14,paper_fig5_formula_generalized_inverse
30.83388251,10,7,15,paper_fig5_formula_generalized_inverse
31.73711154,10,7,15,paper_fig5_formula_generalized_inverse
32.66679921,11,7,15,paper_fig5_formula_generalized_inverse
33.62372059,11,7,16,paper_fig5_formula_generalized_inverse
34.60867344,11,7,16,paper_fig5_formula_generalized_inverse
35.62247890,11,7,16,paper_fig5_formula_generalized_inverse
36.66598217,11,8,17,paper_fig5_formula_generalized_inverse
37.74005318,11,8,17,paper_fig5_formula_generalized_inverse
38.84558738,11,8,17,paper_fig5_formula_generalized_inverse
39.98350643,12,8,18,paper_fig5_formula_generalized_inverse
41.15475899,12,8,18,paper_fig5_formula_generalized_inverse
42.36032151,12,8,19,paper_fig5_formula_generalized_inverse
43.60119904,12,8,19,paper_fig5_formula_generalized_inverse
44.87842609,12,8,19,paper_fig5_formula_generalized_inverse
46.19306745,12,9,20,paper_fig5_formula_generalized_inverse
47.54621911,12,9,20,paper_fig5_formula_generalized_inverse
48.93900918,13,9,21,paper_fig5_formula_generalized_inverse
50.37259880,13,9,21,paper_fig5_formula_generalized_inverse
51.84818312,13,9,22,paper_fig5_formula_generalized_inverse
53.36699231,13,9,22,paper_fig5_formula_generalized_inverse
54.93029258,13,9,23,paper_fig5_formula_generalized_inverse
56.53938721,13,10,23,paper_fig5_formula_generalized_inverse
58.19561769,13,10,24,paper_fig5_formula_generalized_inverse
59.90036477,14,10,24,paper_fig5_formula_generalized_inverse
61.65504968,14,10,25,paper_fig5_formula_generalized_inverse
63.46113527,14,10,25,paper_fig5_formula_generalized_inverse
65.32012722,14,10,26,paper_fig5_formula_generalized_inverse
67.23357536,14,11,26,paper_fig5_formula_generalized_inverse
69.20307489,14,11,27,paper_fig5_formula_generalized_inverse
71.23026775,14,11,27,paper_fig5_formula_generalized_inverse
73.31684395,15,11,28,paper_fig5_formula_generalized_inverse
75.46454306,15,11,29,paper_fig5_formula_generalized_inverse
77.67515556,15,11,29,paper_fig5_formula_generalized_inverse
79.95052439,15,12,30,paper_fig5_formula_generalized_inverse
82.29254650,15,12,31,paper_fig5_formula_generalized_inverse
84.70317439,15,12,31,paper_fig5_formula_generalized_inverse
87.18441774,15,12,32,paper_fig5_formula_generalized_inverse
89.73834513,16,12,33,paper_fig5_formula_generalized_inverse
92.36708572,16,13,34,paper_fig5_formula_generalized_inverse
95.07283104,16,13,34,paper_fig5_formula_generalized_inverse
97.85783682,16,13,35,paper_fig5_formula_generalized_inverse
100.72442486,16,13,36,paper_fig5_formula_generalized_inverse
103.67498500,16,13,37,paper_fig5_formula_generalized_inverse
106.71197705,17,14,38,paper_fig5_formula_generalized_inverse
109.83793290,17,14,38,paper_fig5_formula_generalized_inverse
113.05545861,17,14,39,paper_fig5_formula_generalized_inverse
116.36723656,17,14,40,paper_fig5_formula_generalized_inverse
119.77602772,17,14,41,paper_fig5_formula_generalized_inverse
123.28467394,17,15,42,paper_fig5_formula_generalized_inverse
126.89610032,17,15,43,paper_fig5_formula_generalized_inverse
130.61331762,18,15,44,paper_fig5_formula_generalized_inverse
134.43942483,18,15,45,paper_fig5_formula_generalized_inverse
138.37761170,18,16,46,paper_fig5_formula_generalized_inverse
142.43116143,18,16,47,paper_fig5_formula_generalized_inverse
146.60345338,18,16,48,paper_fig5_formula_generalized_inverse
150.89796591,18,16,49,paper_fig5_formula_generalized_inverse
155.31827929,19,17,50,paper_fig5_formula_generalized_inverse
159.86807865,19,17,51,paper_fig5_formula_generalized_inverse
164.55115706,19,17,53,paper_fig5_formula_generalized_inverse
169.37141873,19,17,54,paper_fig5_formula_generalized_inverse
174.33288222,19,18,55,paper_fig5_formula_generalized_inverse
179.43968381,19,18,56,paper_fig5_formula_generalized_inverse
184.69608094,19,18,58,paper_fig5_formula_generalized_inverse
190.10645577,20,19,59,paper_fig5_formula_generalized_inverse
195.67531884,20,19,60,paper_fig5_formula_generalized_inverse
201.40731281,20,19,62,paper_fig5_formula_generalized_inverse
207.30721632,20,19,63,paper_fig5_formula_generalized_inverse
213.37994803,20,20,64,paper_fig5_formula_generalized_inverse
219.63057065,20,20,66,paper_fig5_formula_generalized_inverse
226.06429521,21,20,67,paper_fig5_formula_generalized_inverse
232.68648540,21,21,69,paper_fig5_formula_generalized_inverse
239.50266200,21,21,71,paper_fig5_formula_generalized_inverse
246.51850754,21,21,72,paper_fig5_formula_generalized_inverse
253.73987100,21,22,74,paper_fig5_formula_generalized_inverse
261.17277269,21,22,76,paper_fig5_formula_generalized_inverse
268.82340930,21,22,77,paper_fig5_formula_generalized_inverse
276.69815900,22,23,79,paper_fig5_formula_generalized_inverse
284.80358684,22,23,81,paper_fig5_formula_generalized_inverse
293.14645017,22,23,83,paper_fig5_formula_generalized_inverse
301.73370426,22,24,85,paper_fig5_formula_generalized_inverse
310.57250816,22,24,87,paper_fig5_formula_generalized_inverse
319.67023062,22,24,89,paper_fig5_formula_generalized_inverse
329.03445623,23,25,91,paper_fig5_formula_generalized_inverse
338.67299178,23,25,93,paper_fig5_formula_generalized_inverse
348.59387274,23,25,95,paper_fig5_formula_generalized_inverse
358.80536996,23,26,97,paper_fig5_formula_generalized_inverse
369.31599658,23,26,100,paper_fig5_formula_generalized_inverse
380.13451511,23,27,102,paper_fig5_formula_generalized_inverse
391.26994476,23,27,104,paper_fig5_formula_generalized_inverse
402.73156892,24,27,107,paper_fig5_formula_generalized_inverse
414.52894293,24,28,109,paper_fig5_formula_generalized_inverse
426.67190206,24,28,112,paper_fig5_formula_generalized_inverse
439.17056966,24,29,115,paper_fig5_formula_generalized_inverse
452.03536564,24,29,117,paper_fig5_formula_generalized_inverse
465.27701513,24,30,120,paper_fig5_formula_generalized_inverse
478.90655747,25,30,123,paper_fig5_formula_generalized_inverse
492.93535534,25,30,126,paper_fig5_formula_generalized_inverse
507.37510430,25,31,129,paper_fig5_formula_generalized_inverse
522.23784250,25,31,132,paper_fig5_formula_generalized_inverse
537.53596072,25,32,135,paper_fig5_formula_generalized_inverse
553.28221273,25,32,138,paper_fig5_formula_generalized_inverse
569.48972589,26,33,141,paper_fig5_formula_generalized_inverse
586.17201209,26,33,145,paper_fig5_formula_generalized_inverse
603.34297905,26,34,148,paper_fig5_formula_generalized_inverse
621.01694189,26,34,152,paper_fig5_formula_generalized_inverse
639.20863507,26,35,155,paper_fig5_formula_generalized_inverse
657.93322466,26,35,159,paper_fig5_formula_generalized_inverse
677.20632100,26,36,163,paper_fig5_formula_generalized_inverse
697.04399173,27,36,167,paper_fig5_formula_generalized_inverse
717.46277514,27,37,171,paper_fig5_formula_generalized_inverse
738.47969398,27,37,175,paper_fig5_formula_generalized_inverse
760.11226969,27,38,179,paper_fig5_formula_generalized_inverse
782.37853693,27,39,183,paper_fig5_formula_generalized_inverse
805.29705869,27,39,188,paper_fig5_formula_generalized_inverse
828.88694170,28,40,192,paper_fig5_formula_generalized_inverse
853.16785242,28,40,197,paper_fig5_formula_generalized_inverse
878.16003339,28,41,201,paper_fig5_formula_generalized_inverse
903.88432014,28,42,206,paper_fig5_formula_generalized_inverse
930.36215852,28,42,211,paper_fig5_formula_generalized_inverse
957.61562262,28,43,216,paper_fig5_formula_generalized_inverse
985.66743314,29,43,221,paper_fig5_formula_generalized_inverse
1014.54097637,29,44,227,paper_fig5_formula_generalized_inverse
1044.26032364,29,45,232,paper_fig5_formula_generalized_inverse
1074.85025143,29,45,238,paper_fig5_formula_generalized_inverse
1106.33626198,29,46,243,paper_fig5_formula_generalized_inverse
1138.74460460,29,47,249,paper_fig5_formula_generalized_inverse
1172.10229753,29,47,255,paper_fig5_formula_generalized_inverse
1206.43715047,30,48,262,paper_fig5_formula_generalized_inverse
1241.77778773,30,49,268,paper_fig5_formula_generalized_inverse
1278.15367216,30,50,274,paper_fig5_formula_generalized_inverse
1315.59512966,30,50,281,paper_fig5_formula_generalized_inverse
1354.13337448,30,51,288,paper_fig5_formula_generalized_inverse
1393.80053524,30,52,295,paper_fig5_formula_generalized_inverse
1434.62968172,31,53,302,paper_fig5_formula_generalized_inverse
1476.65485242,31,53,309,paper_fig5_formula_generalized_inverse
1519.91108295,31,54,317,paper_fig5_formula_generalized_inverse
1564.43443523,31,55,325,paper_fig5_formula_generalized_inverse
1610.26202756,31,56,332,paper_fig5_formula_generalized_inverse
1657.43206555,31,57,341,paper_fig5_formula_generalized_inverse
1705.98387398,32,57,349,paper_fig5_formula_generalized_inverse
1755.95792961,32,58,357,paper_fig5_formula_generalized_inverse
1807.39589488,32,59,366,paper_fig5_formula_generalized_inverse
1860.34065266,32,60,375,paper_fig5_formula_generalized_inverse
1914.83634203,32,61,384,paper_fig5_formula_generalized_inverse
1970.92839503,32,62,394,paper_fig5_formula_generalized_inverse
2028.66357456,32,63,403,paper_fig5_formula_generalized_inverse
2088.09001339,33,64,413,paper_fig5_formula_generalized_inverse
2149.25725422,33,65,423,paper_fig5_formula_generalized_inverse
2212.21629107,33,66,434,paper_fig5_formula_generalized_inverse
2277.01961171,33,66,444,paper_fig5_formula_generalized_inverse
2343.72124147,33,67,455,paper_fig5_formula_generalized_inverse
2412.37678827,33,68,466,paper_fig5_formula_generalized_inverse
2483.04348896,34,69,478,paper_fig5_formula_generalized_inverse
2555.78025707,34,70,490,paper_fig5_formula_generalized_inverse
2630.64773190,34,72,502,paper_fig5_formula_generalized_inverse
2707.70832907,34,73,514,paper_fig5_formula_generalized_inverse
2787.02629257,34,74,527,paper_fig5_formula_generalized_inverse
2868.66774834,34,75,540,paper_fig5_formula_generalized_inverse
2952.70075933,35,76,553,paper_fig5_formula_generalized_inverse
3039.19538231,35,77,567,paper_fig5_formula_generalized_inverse
3128.22372626,35,78,581,paper_fig5_formula_generalized_inverse
3219.86001245,35,79,595,paper_fig5_formula_generalized_inverse
3314.18063636,35,80,610,paper_fig5_formula_generalized_inverse
3411.26423135,35,82,625,paper_fig5_formula_generalized_inverse
3511.19173422,35,83,640,paper_fig5_formula_generalized_inverse
3614.04645267,36,84,656,paper_fig5_formula_generalized_inverse
3719.91413478,36,85,672,paper_fig5_formula_generalized_inverse
3828.88304049,36,87,689,paper_fig5_formula_generalized_inverse
3941.04401515,36,88,706,paper_fig5_formula_generalized_inverse
4056.49056529,36,89,724,paper_fig5_formula_generalized_inverse
4175.31893656,36,90,742,paper_fig5_formula_generalized_inverse
4297.62819398,37,92,760,paper_fig5_formula_generalized_inverse
4423.52030451,37,93,779,paper_fig5_formula_generalized_inverse
4553.10022209,37,94,799,paper_fig5_formula_generalized_inverse
4686.47597507,37,96,819,paper_fig5_formula_generalized_inverse
4823.75875637,37,97,839,paper_fig5_formula_generalized_inverse
4965.06301610,37,99,860,paper_fig5_formula_generalized_inverse
5110.50655701,38,100,881,paper_fig5_formula_generalized_inverse
5260.21063268,38,102,903,paper_fig5_formula_generalized_inverse
5414.30004864,38,103,926,paper_fig5_formula_generalized_inverse
5572.90326637,38,105,949,paper_fig5_formula_generalized_inverse
5736.15251045,38,106,973,paper_fig5_formula_generalized_inverse
5904.18387875,38,108,997,paper_fig5_formula_generalized_inverse
6077.13745592,38,109,1022,paper_fig5_formula_generalized_inverse
6255.15743014,39,111,1048,paper_fig5_formula_generalized_inverse
6438.39221339,39,112,1074,paper_fig5_formula_generalized_inverse
6626.99456511,39,114,1101,paper_fig5_formula_generalized_inverse
6821.12171958,39,116,1129,paper_fig5_formula_generalized_inverse
7020.93551704,39,117,1157,paper_fig5_formula_generalized_inverse
7226.60253854,39,119,1186,paper_fig5_formula_generalized_inverse
7438.29424487,40,121,1216,paper_fig5_formula_generalized_inverse
7656.18711949,40,123,1247,paper_fig5_formula_generalized_inverse
7880.46281567,40,125,1278,paper_fig5_formula_generalized_inverse
8111.30830790,40,126,1310,paper_fig5_formula_generalized_inverse
8348.91604779,40,128,1343,paper_fig5_formula_generalized_inverse
8593.48412453,40,130,1377,paper_fig5_formula_generalized_inverse
8845.21642998,41,132,1412,paper_fig5_formula_generalized_inverse
9104.32282873,41,134,1448,paper_fig5_formula_generalized_inverse
9371.01933298,41,136,1484,paper_fig5_formula_generalized_inverse
9645.52828267,41,138,1522,paper_fig5_formula_generalized_inverse
9928.07853083,41,140,1560,paper_fig5_formula_generalized_inverse
10218.90563438,41,142,1600,paper_fig5_formula_generalized_inverse
10518.25205049,41,144,1640,paper_fig5_formula_generalized_inverse
10826.36733874,42,146,1682,paper_fig5_formula_generalized_inverse
11143.50836913,42,148,1725,paper_fig5_formula_generalized_inverse
11469.93953629,42,150,1768,paper_fig5_formula_generalized_inverse
11805.93297982,42,153,1813,paper_fig5_formula_generalized_inverse
12151.76881125,42,155,1859,paper_fig5_formula_generalized_inverse
12507.73534751,42,157,1906,paper_fig5_formula_generalized_inverse
12874.12935133,43,159,1955,paper_fig5_formula_generalized_inverse
13251.25627859,43,162,2004,paper_fig5_formula_generalized_inverse
13639.43053305,43,164,2055,paper_fig5_formula_generalized_inverse
14038.97572840,43,167,2108,paper_fig5_formula_generalized_inverse
14450.22495807,43,169,2161,paper_fig5_formula_generalized_inverse
14873.52107294,43,171,2216,paper_fig5_formula_generalized_inverse
15309.21696714,44,174,2273,paper_fig5_formula_generalized_inverse
15757.67587229,44,177,2331,paper_fig5_formula_generalized_inverse
16219.27166028,44,179,2390,paper_fig5_formula_generalized_inverse
16694.38915497,44,182,2451,paper_fig5_formula_generalized_inverse
17183.42445303,44,184,2514,paper_fig5_formula_generalized_inverse
17686.78525413,44,187,2578,paper_fig5_formula_generalized_inverse
18204.89120088,44,190,2644,paper_fig5_formula_generalized_inverse
18738.17422860,45,193,2711,paper_fig5_formula_generalized_inverse
19287.07892550,45,195,2781,paper_fig5_formula_generalized_inverse
19852.06290326,45,198,2852,paper_fig5_formula_generalized_inverse
20433.59717857,45,201,2925,paper_fig5_formula_generalized_inverse
21032.16656580,45,204,3000,paper_fig5_formula_generalized_inverse
21648.27008117,45,207,3076,paper_fig5_formula_generalized_inverse
22282.42135878,46,210,3155,paper_fig5_formula_generalized_inverse
22935.14907883,46,213,3236,paper_fig5_formula_generalized_inverse
23606.99740833,46,216,3319,paper_fig5_formula_generalized_inverse
24298.52645481,46,219,3404,paper_fig5_formula_generalized_inverse
25010.31273323,46,223,3492,paper_fig5_formula_generalized_inverse
25742.94964666,46,226,3581,paper_fig5_formula_generalized_inverse
26497.04798093,47,229,3673,paper_fig5_formula_generalized_inverse
27273.23641387,47,233,3768,paper_fig5_formula_generalized_inverse
28072.16203941,47,236,3865,paper_fig5_formula_generalized_inverse
28894.49090707,47,239,3964,paper_fig5_formula_generalized_inverse
29740.90857722,47,243,4066,paper_fig5_formula_generalized_inverse
30612.12069259,47,246,4171,paper_fig5_formula_generalized_inverse
31508.85356662,47,250,4278,paper_fig5_formula_generalized_inverse
32431.85478892,48,254,4388,paper_fig5_formula_generalized_inverse
33381.89384851,48,257,4501,paper_fig5_formula_generalized_inverse
34359.76277540,48,261,4617,paper_fig5_formula_generalized_inverse
35366.27680081,48,265,4736,paper_fig5_formula_generalized_inverse
36402.27503686,48,269,4859,paper_fig5_formula_generalized_inverse
37468.62117612,48,273,4984,paper_fig5_formula_generalized_inverse
38566.20421163,49,277,5113,paper_fig5_formula_generalized_inverse
39695.93917807,49,281,5245,paper_fig5_formula_generalized_inverse
40858.76791457,49,285,5380,paper_fig5_formula_generalized_inverse
42055.65984994,49,289,5520,paper_fig5_formula_generalized_inverse
43287.61281083,49,293,5662,paper_fig5_formula_generalized_inverse
44555.65385365,49,298,5809,paper_fig5_formula_generalized_inverse
45860.84012074,50,302,5959,paper_fig5_formula_generalized_inverse
47204.25972175,50,306,6114,paper_fig5_formula_generalized_inverse
48587.03264075,50,311,6272,paper_fig5_formula_generalized_inverse
50010.31166993,50,315,6434,paper_fig5_formula_generalized_inverse
51475.28337069,50,320,6601,paper_fig5_formula_generalized_inverse
52983.16906284,50,325,6772,paper_fig5_formula_generalized_inverse
54535.22584277,50,329,6948,paper_fig5_formula_generalized_inverse
56132.74763151,51,334,7128,paper_fig5_formula_generalized_inverse
57777.06625341,51,339,7314,paper_fig5_formula_generalized_inverse
59469.55254650,51,344,7503,paper_fig5_formula_generalized_inverse
61211.61750528,51,349,7698,paper_fig5_formula_generalized_inverse
63004.71345707,51,354,7898,paper_fig5_formula_generalized_inverse
64850.33527279,51,359,8104,paper_fig5_formula_generalized_inverse
66750.02161321,52,364,8315,paper_fig5_formula_generalized_inverse
68705.35621169,52,370,8531,paper_fig5_formula_generalized_inverse
70717.96919449,52,375,8753,paper_fig5_formula_generalized_inverse
72789.53843983,52,381,8981,paper_fig5_formula_generalized_inverse
74921.79097666,52,386,9215,paper_fig5_formula_generalized_inverse
77116.50442447,52,392,9455,paper_fig5_formula_generalized_inverse
79375.50847526,53,397,9701,paper_fig5_formula_generalized_inverse
81700.68641891,53,403,9954,paper_fig5_formula_generalized_inverse
84093.97671325,53,409,10214,paper_fig5_formula_generalized_inverse
86557.37460012,53,415,10480,paper_fig5_formula_generalized_inverse
89092.93376877,53,421,10754,paper_fig5_formula_generalized_inverse
91702.76806796,53,427,11034,paper_fig5_formula_generalized_inverse
94389.05326825,54,433,11323,paper_fig5_formula_generalized_inverse
97154.02887593,54,440,11618,paper_fig5_formula_generalized_inverse
100000.00000000,54,446,11922,paper_fig5_formula_generalized_inverse
